,accuracy_score,precision_score,recall_score,f1_score,fitted_time(s)
"VotingClassifier(estimators=[('MLP', MLPClassifier()),
                             ('RFC',
                              RandomForestClassifier(n_estimators=50,
                                                     random_state=1)),
                             ('SVC', SVC())])",0.581296707735811,0.581296707735811,0.581296707735811,0.581296707735811,368.61799716949463
"VotingClassifier(estimators=[('MLP', MLPClassifier()), ('SVC', SVC())])",0.5808927489396082,0.5808927489396082,0.5808927489396082,0.5808927489396082,370.14334988594055
"VotingClassifier(estimators=[('KNN', KNeighborsClassifier()),
                             ('RFC',
                              RandomForestClassifier(n_estimators=50,
                                                     random_state=1)),
                             ('GaussianNB', GaussianNB())])",0.531003837608564,0.531003837608564,0.531003837608564,0.531003837608564,31.071177005767822
