,accuracy_score,precision_score,recall_score,f1_score,fitted_time(s)
"VotingClassifier(estimators=[('MLP', MLPClassifier()), ('SVC', SVC())])",0.58695213088265,0.58695213088265,0.58695213088265,0.58695213088265,180.2436647415161
"VotingClassifier(estimators=[('MLP', MLPClassifier()),
                             ('RFC',
                              RandomForestClassifier(n_estimators=50,
                                                     random_state=1)),
                             ('SVC', SVC())])",0.5835184811149263,0.5835184811149263,0.5835184811149263,0.5835184811149263,198.78195786476135
"VotingClassifier(estimators=[('KNN', KNeighborsClassifier()),
                             ('RFC',
                              RandomForestClassifier(n_estimators=50,
                                                     random_state=1)),
                             ('GaussianNB', GaussianNB())])",0.5312058170066654,0.5312058170066654,0.5312058170066654,0.5312058170066654,19.03145122528076
